Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,00:01:42,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:01:42,0.01,0.01,1.00,0.06,0.00,-0.73
2025-02-07,00:01:43,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:43,0.01,0.02,1.00,0.12,0.00,-0.73
2025-02-07,00:01:44,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:44,0.01,0.02,1.00,0.06,-0.06,-0.73
2025-02-07,00:01:45,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:45,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:46,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:46,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:47,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:47,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:01:48,0.01,0.02,1.00,0.06,-0.06,-0.73
2025-02-07,00:01:48,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:01:49,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:49,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:50,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:50,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:01:51,0.01,0.02,1.00,0.06,0.18,-0.79
2025-02-07,00:01:51,0.01,0.02,1.00,0.06,-0.06,-0.79
2025-02-07,00:01:52,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:52,0.01,0.02,1.00,0.06,-0.06,-0.79
2025-02-07,00:01:53,0.01,0.01,1.00,0.06,0.00,-0.73
2025-02-07,00:01:53,0.01,0.02,1.00,0.06,-0.06,-0.73
2025-02-07,00:01:54,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:54,0.01,0.02,1.00,0.12,0.00,-0.79
2025-02-07,00:01:55,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:01:55,0.01,0.02,1.00,0.06,-0.06,-0.73
2025-02-07,00:01:56,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:01:56,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:01:57,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:57,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:01:58,0.01,0.02,1.00,0.12,0.00,-0.73
2025-02-07,00:01:58,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:59,0.01,0.02,1.00,0.06,-0.06,-0.79
2025-02-07,00:01:59,0.01,0.02,1.00,0.06,-0.06,-0.73
2025-02-07,00:02:00,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:00,0.01,0.02,1.00,0.12,0.00,-0.79
2025-02-07,00:02:01,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:01,0.01,0.02,1.00,0.00,-0.06,-0.73
2025-02-07,00:02:02,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:02,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:03,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:03,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:04,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:04,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:05,0.01,0.02,1.00,0.06,0.00,-0.79
